식별번호,시장명,시장유형,소재지도로명주소,소재지지번주소,위도,경도
04003,강릉중앙시장,상설장,강원특별자치도 강릉시 금성로21,강원특별자치도 강릉시 성남동 50,37.75402359,128.8986233
04003,강릉동부시장,상설장,강원특별자치도 강릉시 옥천로 48,강원특별자치도 강릉시 옥천동 223,37.76006572,128.9006624
04003,강릉서부시장,상설장,강원특별자치도 강릉시 임영로 155번길 6,강원특별자치도 강릉시 용강동 29,37.75509423,128.8907988
04003,주문진종합시장,상설장,강원특별자치도 강릉시 주문진읍 구시장길 11-3,강원특별자치도 강릉시 주문진읍 주문리 321-14,37.89143538,128.8269078
04003,주문진수산시장,상설장,강원특별자치도 강릉시 주문진읍 시장2길 4,강원특별자치도 강릉시 주문진읍 주문리 312-439,37.89097196,128.8280066
04003,주문진좌판풍물시장,상설장,강원특별자치도 강릉시 주문진읍 해안로 1758-10,강원특별자치도 강릉시 주문진읍 주문리 312-713,37.89172179,128.8293126
04003,주문진건어물시장,상설장,강원특별자치도 강릉시 주문진읍 해안로1748,강원특별자치도 강릉시 주문리 312-708,37.89114216,128.8287525
04003,강릉성남시장,상설장,강원특별자치도 강릉시 중앙시장1길 16,강원특별자치도 강릉시 성남동 54-10,37.75345075,128.8992157
05001,간성전통시장,5일장,강원특별자치도 고성군 간성시장3길 7-2,강원특별자치도 고성군 간성읍 신안리 311-10,38.37999652,128.4694501
05001,거진전통시장,상설장+5일장,강원특별자치도 고성군 거진시장길 15,강원특별자치도 고성군 거진리 272,38.44783915,128.4539615
02016,북평민속시장,5일장,강원특별자치도 동해시 오일장길 32,강원특별자치도 동해시 북평동 15-5,37.48247246,129.1260277
02016,묵호항 자연산 수산물 판매장,상설장,강원특별자치도 동해시 일출로 15-128,강원특별자치도 동해시 묵호진동 15-128번지 외 4필지,37.5520617,129.1162072
02016,묵호시장,상설장,강원특별자치도 동해시 일출로 59-1,강원특별자치도 동해시묵호동 15-61,37.55235883,129.114195
02016,동쪽바다 중앙시장,상설장,강원특별자치도 동해시 중앙시장길 12,강원특별자치도 동해시 발한동 7-1,37.55104798,129.1085724
02016,동해남부재래시장,상설장,강원특별자치도 동해시 청운1길 29,강원특별자치도 동해시 동회동 442,37.48761131,129.1035481
02023,도계중앙시장,상설장,강원특별자치도 삼척시 도계읍 도계로4길 20,강원특별자치도 삼척시 도계읍 도계리 390-1,37.23515044,129.0451079
02023,도계전두시장,상설장,강원특별자치도 삼척시 도계읍 전두시장길 6-1,강원특별자치도 삼척시 도계읍 전두리 81-20,37.22913387,129.0428102
02023,삼척번개시장,상설장,강원특별자치도 삼척시 중앙로 14-27,강원특별자치도 삼척시 사직동 50-11,37.43090508,129.1785784
02023,삼척중앙시장,5일장,강원특별자치도 삼척시 진주로 12-21,강원특별자치도 삼척시 남양동 55-4,37.44210346,129.1646216
02013,(사)속초종합중앙시장,상설장,강원특별자치도 속초시 중앙로147번길 16,강원특별자치도 속초시 중앙동 471-4,38.20452186,128.5901906
02013,속초중앙전통시장,상설장,강원특별자치도 속초시 중앙시장로 6길 4,강원특별자치도 속초시 중앙동 493-51,38.20540373,128.5893551
02008,양구중앙시장,5일장,강원특별자치도 양구군 중앙길 68,강원특별자치도 양구군 상리 235,38.10410575,127.9893293
02005,양양전통시장,5일장,강원특별자치도 양양군 양양읍 남문5길 9,강원특별자치도 양양군 남문리 57,38.07506325,128.6232929
02002,서부공설시장,상설장,강원특별자치도 영월군 영월읍 서부시장길 8-1,강원특별자치도 영월군 영월읍 하송리 5-10,37.18292424,128.4663131
02002,영월종합상가,상설장,강원특별자치도 영월군 영월읍 하송안 길,강원특별자치도 영월군 영월읍 하송리 11-3,37.18222729,128.4667099
02002,서부아침시장,상설장,강원특별자치도 영월군 중앙로 30-1,강원특별자치도 영월군 영월읍 영흥리 947-57,37.18331946,128.4667527
02015,문막전통시장,5일장,강원특별자치도 원주시 문막읍 문막시장1길 52-10,강원특별자치도 원주시 문막읍 문막리 240-1,37.30603623,127.8153591
02015,북원상가시장,상설장,강원특별자치도 원주시 북원상가길 13,강원특별자치도 원주시 태장2동 1379-23,37.38437866,127.9488481
02015,중앙시민전통시장,상설장,강원특별자치도 원주시 자유시장길 26,강원특별자치도 원주시 중앙동 42-3,37.35170226,127.9496432
02015,원주자유시장,상설장,강원특별자치도 원주시 중앙시장길 11,강원특별자치도 원주시 중앙동 57,37.35022856,127.9486248
02015,원주중앙시장,상설장,강원특별자치도 원주시 중앙시장길 6,강원특별자치도 원주시 중앙동 60-56,37.3500121,127.9491922
02015,원주남부시장,상설장,강원특별자치도 원주시 치악로 1803,강원특별자치도 원주시 명륜동 26,37.34301479,127.9544876
02015,원주민속풍물시장,5일장,강원특별자치도 원주시 풍물시장길 30,강원특별자치도 원주시 평원동 134-1,37.34898697,127.9541166
02009,기린전통시장,5일장,강원특별자치도 인제군 기린면 기린로 17,강원특별자치도 인제군 기린면 현리 639-9번지,37.95398472,128.3168559
02009,원통시장,5일장,강원특별자치도 인제군 북면 원통로 178번길 7-1,강원특별자치도 인제군 북면 원통리 647-40,38.12258112,128.2046174
02009,인제시장,5일장,강원특별자치도 인제군 인제읍 인제로 178번길 14,강원특별자치도 인제군 인제읍 상동리 258-32번지,38.06709944,128.1710768
02022,고한구공탄시장,상설장+5일장,강원특별자치도 정선군 고한읍 고한 4길 38-6,강원특별자치도 정선군 고한읍 고한리 62-14,37.20132181,128.8540542
02022,정선사북시장,상설장,강원특별자치도 정선군 사북읍 사북2길 6 - 1,강원특별자치도 정선군 사북읍 사북리 366-59,37.22736185,128.8162173
02022,임계사통팔달시장,5일장,강원특별자치도 정선군 송계3길 12,강원특별자치도 정선군 송계리 774-5,37.49511413,128.8525744
02022,정선아리랑시장,5일장,강원특별자치도 정선군 정선읍 봉양7길 39,강원특별자치도 정선군 정선읍 봉양리 349-20,37.38039035,128.6652264
02004,신철원전통시장,5일장,강원특별자치도 철원군 갈말읍 삼부연로18번길 16-2,강원특별자치도 철원군 갈말읍 신철원리 697,38.14472692,127.3100254
02004,동송시장,5일장,강원특별자치도 철원군 동송읍 이평로 47번길 16,강원특별자치도 철원군 동송읍 이평리 680-1,38.20880978,127.218876
02004,동송전통시장,5일장,강원특별자치도 철원군 동송읍 이평로 47번길 19,강원특별자치도 철원군 동송읍 이평리 678-49,38.2089011,127.2192783
02004,와수전통시장,상설장+5일장,강원특별자치도 철원군 서면 와수로 184번길 6-3,강원특별자치도 철원군 서면 와수리 1171-92,38.23946579,127.4394938
04001,춘천남부시장,상설장,강원특별자치도 춘천시 공지로 367,강원특별자치도 춘천시 효자동 684-11,37.87056273,127.7260495
04001,춘천동부시장,상설장,강원특별자치도 춘천시 동부시장길8,강원특별자치도 춘천시 운교동 183,37.87723546,127.734114
04001,춘천서부시장,상설장,강원특별자치도 춘천시 서부대성로12,강원특별자치도 춘천시 소양로2가 172-1,37.88481452,127.7246493
04001,춘천번개시장,상설장,강원특별자치도 춘천시 소양로212 새마을금고2층,강원특별자치도 춘천시 소양로1가 93-10,37.89183308,127.7263073
04001,제일종합시장,상설장,강원특별자치도 춘천시 약사고개길13,강원특별자치도 춘천시 죽림동 32,37.87748142,127.7260807
04001,춘천풍물시장,5일장,강원특별자치도 춘천시 영서로 2352-54,강원특별자치도 춘천시 온의동 148-1,37.86623705,127.7195843
04001,춘천중앙시장,상설장,강원특별자치도 춘천시 중앙로77번길 4-4,강원특별자치도 춘천시 중앙로2가 42-18,37.87849419,127.7257538
04001,춘천후평시장,상설장,강원특별자치도 춘천시 효평길 104,강원특별자치도 춘천시 후평동 691-22,37.88079022,127.746783
02031,황지자유시장,상설장,강원특별자치도 태백시 시장안길 18 - 1,강원특별자치도 태백시 통동 75-32,37.17303883,129.0412268
02031,태백시 장성중앙시장,상설장,강원특별자치도 태백시 장성1길 190,강원특별자치도 태백시 장성동 159-2,37.10068429,129.009713
02028,평창대화시장,5일장,강원특별자치도 평창군 대화면 대화시장 2길 41,강원특별자치도 평창군 대화면 대화리 1001-163,37.50110318,128.4539931
02028,봉평전통시장,5일장,강원특별자치도 평창군 봉평면 허생원장터길15,강원특별자치도 평창군 봉평면 창동리 397-34,37.61559178,128.3772803
02028,진부전통시장,5일장,강원특별자치도 평창군 진부면 진부새싹길 28-7,강원특별자치도 평창군 진부면 하진부리 206-95,37.63821679,128.5579259
